neighbourhood_group,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Manhattan,Private room,80.0,1,1,45.0
Brooklyn,Entire home/apt,165.0,5,1,45.0
Manhattan,Entire home/apt,200.0,1,1,45.0
Brooklyn,Entire home/apt,125.0,2,1,45.0
Manhattan,Entire home/apt,9999.0,5,1,45.0
Brooklyn,Private room,44.0,1,1,45.0
Manhattan,Entire home/apt,300.0,1,1,45.0
Manhattan,Private room,50.0,14,1,45.0
Brooklyn,Private room,40.0,1,1,45.0
Manhattan,Entire home/apt,140.0,2,1,45.0
Brooklyn,Private room,45.0,2,1,151.0
Brooklyn,Private room,60.0,3,1,45.0
Brooklyn,Private room,38.0,1,1,45.0
Manhattan,Private room,92.0,2,1,45.0
Brooklyn,Private room,70.0,1,1,45.0
Manhattan,Entire home/apt,99.0,3,1,45.0
Brooklyn,Private room,50.0,1,1,45.0
Manhattan,Private room,150.0,2,1,45.0
Brooklyn,Private room,85.0,3,1,179.0
Manhattan,Private room,80.0,5,1,45.0
Brooklyn,Shared room,45.0,4,2,45.0
Brooklyn,Entire home/apt,90.0,7,1,45.0
Manhattan,Private room,64.0,4,1,45.0
Brooklyn,Private room,99.0,3,1,45.0
Queens,Entire home/apt,80.0,2,1,45.0
Manhattan,Shared room,60.0,1,1,45.0
Manhattan,Private room,100.0,2,1,36.0
Brooklyn,Private room,90.0,1,1,45.0
Manhattan,Entire home/apt,80.0,1,1,45.0
Brooklyn,Entire home/apt,220.0,30,1,45.0
Manhattan,Entire home/apt,140.0,3,1,45.0
Manhattan,Private room,100.0,3,1,45.0
Brooklyn,Private room,100.0,2,1,45.0
Manhattan,Entire home/apt,135.0,2,1,45.0
Brooklyn,Private room,70.0,2,1,45.0
Manhattan,Private room,115.0,3,2,45.0
Manhattan,Entire home/apt,160.0,2,1,45.0
Brooklyn,Entire home/apt,99.0,1,1,45.0
Brooklyn,Private room,75.0,1,1,45.0
Brooklyn,Entire home/apt,210.0,1,1,45.0
Manhattan,Private room,70.0,1,1,45.0
Brooklyn,Entire home/apt,150.0,1,1,45.0
Manhattan,Entire home/apt,141.0,6,1,45.0
Manhattan,Shared room,47.0,1,1,45.0
Queens,Entire home/apt,150.0,3,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Brooklyn,Entire home/apt,199.0,1,1,45.0
Manhattan,Private room,50.0,7,1,45.0
Manhattan,Private room,110.0,2,1,45.0
Brooklyn,Entire home/apt,150.0,2,1,45.0
Brooklyn,Entire home/apt,100.0,31,1,223.0
Brooklyn,Entire home/apt,75.0,1,1,45.0
Bronx,Private room,80.0,3,1,365.0
Brooklyn,Entire home/apt,49.0,7,1,45.0
Manhattan,Private room,45.0,2,1,45.0
Manhattan,Entire home/apt,140.0,4,1,45.0
Brooklyn,Private room,100.0,60,1,365.0
Brooklyn,Entire home/apt,800.0,3,1,45.0
Brooklyn,Private room,45.0,3,1,45.0
Brooklyn,Private room,90.0,1,1,45.0
Brooklyn,Entire home/apt,262.0,30,1,16.0
Brooklyn,Private room,75.0,4,1,45.0
Brooklyn,Entire home/apt,250.0,10,1,45.0
Manhattan,Entire home/apt,125.0,6,1,45.0
Manhattan,Entire home/apt,300.0,1,1,45.0
Brooklyn,Private room,73.0,1,1,45.0
Brooklyn,Private room,70.0,5,1,45.0
Manhattan,Private room,129.0,3,1,45.0
Manhattan,Entire home/apt,340.0,2,1,45.0
